id,all_avg
020003000020,7.2097
020003000626,4.2028
020005000027,3.1354
020005000028,4.2551
020006000029,6.8228
020006000627,4.5221
020007000032,4.9359
020007000034,4.6741
020007000036,6.5020
020007000039,7.4082
020007000398,5.2323
020009000160,5.4629
020009000433,7.4722
020009000629,3.8615
020010000559,4.1873
020010000599,4.3320
020010000631,6.1454
020012000042,2.8256
020012000634,5.5008
020013000044,5.4461
020013000635,7.3654
020015000046,4.3015
020015000048,6.3833
020015000050,7.4964
020015000052,3.8841
020015000306,6.0572
020015000427,4.1728
020015000523,3.8247
020015000584,5.1145
020018000053,3.5030
020018000054,2.0891
020018000056,5.4294
020018000058,4.6399
020018000059,5.7280
020018000060,5.7822
020018000062,3.9028
020018000063,6.8677
020018000064,5.2968
020018000065,3.1310
020018000066,3.5680
020018000067,6.4358
020018000068,4.1182
020018000070,4.0614
020018000071,3.0883
020018000072,4.6866
020018000074,4.6273
020018000076,2.6554
020018000077,7.0868
020018000078,3.9388
020018000080,5.6482
020018000082,5.8767
020018000083,5.2973
020018000086,3.4961
020018000087,3.9469
020018000088,4.1491
020018000089,2.3261
020018000091,5.0787
020018000092,2.4727
020018000093,2.8130
020018000094,7.4669
020018000095,3.7869
020018000096,3.2448
020018000097,5.5959
020018000098,4.4649
020018000099,5.0715
020018000101,6.2987
020018000102,2.8631
020018000103,5.8024
020018000104,5.5262
020018000105,6.2655
020018000106,7.9276
020018000107,3.7837
020018000108,5.0222
020018000110,4.1505
020018000112,3.4924
020018000115,8.9804
020018000116,3.7295
020018000117,3.6669
020018000118,4.4524
020018000119,6.2608
020018000121,1.9940
020018000122,2.9121
020018000123,3.2214
020018000124,2.9959
020018000147,4.1991
020018000149,5.4288
020018000151,4.0181
020018000154,2.8835
020018000162,8.8035
020018000172,6.2883
020018000178,5.4316
020018000229,7.6387
020018000390,5.5120
020018000400,4.6837
020018000459,4.7600
020018000460,6.7294
020018000504,4.2432
020018000505,7.7055
020018000506,4.3130
020018000530,5.0444
020018000532,6.0793
020018000533,6.2336
020018000534,7.0667
020018000555,6.8630
020018000561,3.4425
020018000562,7.6191
020018000598,4.5227
020018000713,4.4658
020018000729,5.6986
020018000732,6.3212
020018000736,4.2135
020021000127,4.3183
020021000129,7.2110
020021000130,3.5270
020021000131,2.8004
020021000132,4.4967
020021000134,7.4271
020021000265,3.1805
020021000268,6.6441
020021000508,4.0230
020024000136,7.0798
020024000638,4.2406
020027000144,5.8831
020030000146,3.3953
020030000641,5.4043
020033000148,3.2896
020036000150,4.4698
020039000152,6.2368
020039000153,2.5815
020039000157,3.6839
020039000163,6.1731
020039000164,6.0138
020039000165,6.0797
020039000169,5.2787
020039000171,4.6600
020039000173,4.9529
020039000175,6.1916
020039000176,4.7416
020039000274,8.2945
020039000296,5.7681
020039000299,5.9219
020039000397,5.1253
020039000403,4.7686
