id,m_grd
1201650,0.7645
1201680,0.8880
1201710,0.8129
1201740,0.9188
1201770,0.8148
1201800,0.7769
1201830,0.6925
1201860,0.8076
1201890,0.7629
1201920,0.7574
1201950,0.7797
1201980,0.8088
1202010,0.7402
1202012,0.9762
1202015,0.9771
1300001,0.8462
1300060,0.8101
1300090,0.8442
1300120,0.7748
1300150,0.8561
1300210,0.7397
1300240,0.8465
1300290,0.8905
1300330,0.7663
1300360,0.8782
1300390,0.8413
1300420,0.7711
1300440,0.8450
1300480,0.9111
1300510,0.9292
1300540,0.7183
1300570,0.8896
1300600,1.1172
1300630,0.9405
1300660,0.8197
1300690,0.9123
1300720,0.8857
1300750,0.8861
1300780,0.8948
1300810,0.8526
1300840,0.7854
1300870,0.8917
1300900,0.9760
1300930,0.9659
1300990,0.9910
1301020,0.8269
1301050,0.6210
1301080,0.8539
1301110,0.9636
1301140,0.9941
1301170,0.8114
1301230,0.8503
1301260,0.8677
1301290,0.9716
1301350,0.8447
1301380,0.7520
1301410,0.9392
1301440,0.7761
1301470,0.8227
1301500,0.9467
1301530,0.7647
1301560,0.7412
1301590,0.9103
1301620,0.8283
1301650,0.9431
1301680,1.0614
1301710,0.6798
1301740,0.8117
1301770,0.7554
1301800,0.8577
1301830,0.8222
1301860,0.8388
1301870,0.7976
1301890,0.8074
1301920,0.9137
1301950,0.8565
1301980,0.9345
1302010,0.8908
1302040,0.7467
1302070,0.9354
1302100,0.9307
1302130,0.9505
1302190,0.8439
1302220,1.0770
1302250,0.7122
1302280,0.8986
1302310,0.8669
1302340,1.1873
1302370,0.9309
1302400,0.9449
1302430,0.9751
1302460,0.7195
1302490,0.8129
1302520,0.7612
1302550,0.9648
1302580,0.9794
1302610,0.9702
1302640,0.8789
1302670,0.9733
1302700,0.9079
1302730,0.9180
1302790,1.2016
1302820,0.8873
1302880,0.8441
1302910,0.6723
1302940,0.8296
1302970,0.8004
1303000,0.8640
1303030,1.0518
1303060,0.9567
1303090,0.6485
1303120,0.8160
1303150,0.9100
1303210,0.7303
1303240,0.8652
1303270,0.8743
1303300,0.8052
1303330,0.8777
1303360,0.8040
1303390,0.8907
1303420,0.8783
1303450,0.8896
1303480,0.8660
1303510,0.8632
1303540,0.7592
1303570,0.8326
1303600,0.8163
1303630,0.7363
1303660,0.9704
1303690,1.0289
1303720,0.8723
1303750,0.7469
1303780,0.7415
1303840,0.7610
1303870,0.8881
1303930,0.8664
1303960,0.8395
1303990,1.0093
1304020,0.8650
1304050,0.9000
1304080,0.8887
1304110,0.8716
1304140,0.8839
1304170,0.8976
1304200,0.8348
1304220,0.8502
1304260,0.7958
1304320,0.8534
1304350,0.6899
1304380,0.7941
1304410,0.8063
