id,h_avg
1717800,-0.6904
1718240,-1.0666
1718420,-2.1020
1718450,-1.3913
1718480,-1.6525
1718570,-0.9917
1719230,-0.5168
1719290,1.4752
1719500,0.3713
1719530,0.4912
1719680,-1.5261
1719830,0.3856
1720180,-0.5114
1720580,-0.7601
1720760,-1.1944
1720880,-0.7394
1721000,-0.9666
1721030,0.2336
1721270,0.0914
1721420,0.1807
1721450,-0.4594
1721600,0.3105
1721630,-0.5643
1721870,-0.3234
1721900,-0.4957
1722020,-0.5194
1722080,-1.1524
1723460,-0.2317
1723850,-0.7687
1724000,-0.7012
1724330,-0.9015
1724480,-0.4136
1724720,-0.7542
1724780,-0.7731
1724940,0.8692
1725110,-1.1476
1725290,-1.2328
1725620,-1.0211
1725690,-0.1841
1725920,-1.1105
1726310,-0.0235
1726400,-1.2724
1726430,-1.4140
1726610,-0.5668
1727210,0.6160
1727540,-0.7005
1727710,-0.0283
1728140,-0.4090
1728620,-0.7668
1728650,-0.5279
1728700,-0.7041
1728890,0.7700
1729190,-0.1915
1729250,0.6003
1729760,0.6777
1730220,0.2776
1730270,-0.3379
1730300,-0.8967
1730420,-1.2040
1730600,1.0548
1730840,0.7660
1731230,-1.1221
1731740,-0.2164
1731770,-0.8569
1732370,-1.0510
1732850,-1.0558
1732970,-0.9148
1733210,-2.4515
1733390,-1.0021
1733450,-0.3332
1733690,-0.3074
1733840,-0.7567
1733870,-0.6945
1733990,0.5517
1734260,-1.3811
1734350,-0.3763
1734410,-1.7012
1734470,-1.0211
1734510,-1.4487
1734740,0.2557
1734990,-1.5314
1735370,-0.8003
1735460,-1.2639
1735640,-0.5001
1736360,-1.4064
1736450,0.0372
1736480,-0.7259
1736600,-0.6116
1736750,-1.0781
1736810,-0.6549
1737050,-1.6357
1737080,-0.4712
1737170,-0.2405
1737680,-1.2224
1737860,-0.5601
1738220,0.3633
1738370,-0.9852
1738460,-1.2031
1739030,-0.3327
1739510,-0.3468
1739780,-0.6274
1739960,-1.8548
1740070,-0.8139
1740350,-1.0267
1740500,0.0959
1741190,-1.0731
1741250,-1.4127
1741520,-1.2628
1741550,-1.6965
1741690,0.0471
1741790,-0.4462
1741980,-0.6740
1742180,-0.3836
1742210,-1.6490
1742310,-0.6714
1742600,1.3386
1743020,-0.6144
1743110,-0.9566
1743330,-1.4429
1743380,-0.5210
1743860,-1.0221
1743960,-0.6793
1800030,0.7308
1800150,-1.1854
1800270,0.5505
1800360,-1.1346
1800630,0.2994
1800900,-0.2355
1801020,0.8612
1801200,0.6402
1801440,0.5306
1801890,0.2601
1802400,-0.7248
1802460,-0.4495
1802490,0.9033
1802640,-0.5810
1802800,0.3635
1802830,1.4924
1802850,-0.6162
1802880,-0.8457
1802910,-0.0840
1802970,-0.6265
1803270,-0.8715
1803450,-1.0891
1803630,-0.4926
1803660,-1.2535
1803690,-0.5597
1803750,-0.1103
1803870,-0.8310
1803930,-1.3092
1803940,-0.5360
1803960,-0.9334
1804110,-0.4111
1804170,0.1150
1804320,-0.8329
1804350,0.2144
1804560,0.3809
1804590,0.1534
1804620,-0.2950
1804770,-0.9062
