id,m_grd
29155,0.7133
29157,0.8861
29159,0.9082
29161,0.9327
29163,0.9423
29165,0.9667
29167,0.8893
29169,0.8900
29171,0.7141
29173,0.8568
29175,0.8737
29177,1.0616
29179,0.7334
29181,0.9642
29183,1.0352
29185,0.8391
29186,0.8791
29187,0.7534
29189,0.9211
29195,1.0050
29197,0.8723
29199,0.9320
29201,0.8521
29203,0.9619
29205,0.8568
29207,0.8829
29209,0.8617
29211,0.9880
29213,0.9507
29215,0.9089
29217,0.9306
29219,0.8592
29221,0.8589
29223,0.8908
29225,0.8994
29229,0.8941
29510,0.9575
30001,1.0175
30003,0.8220
30005,1.0233
30007,0.9243
30009,0.8807
30013,0.8826
30015,0.9349
30017,0.7934
30021,0.8467
30023,0.8748
30027,1.1600
30029,1.0397
30031,0.9192
30035,0.7439
30041,0.9584
30043,1.0190
30047,0.9822
30049,1.1056
30053,1.0114
30057,0.9344
30061,0.9097
30063,0.9474
30065,0.9396
30067,0.9997
30071,1.1486
30073,0.9015
30077,0.8749
30081,0.9516
30083,0.9360
30085,0.7928
30087,0.7380
30089,0.9566
30093,0.8593
30095,0.8719
30099,0.9100
30101,0.9944
30105,0.9813
30111,0.9700
31001,1.0779
31003,0.8543
31011,0.9598
31013,1.0431
31019,0.9182
31021,1.1315
31023,0.8148
31025,0.9678
31027,0.9842
31029,0.9598
31031,0.9538
31033,1.1219
31035,1.0864
31037,0.9302
31039,1.0469
31041,0.9580
31043,1.1487
31045,1.0203
31047,1.1018
31051,0.9845
31053,1.0878
31055,0.9159
31059,1.0079
31065,0.9183
31067,0.9891
31079,0.9904
31081,0.9908
31089,1.0965
31093,0.9367
31095,1.1848
31097,1.0649
31099,0.9793
31101,0.9183
31107,0.9666
31109,0.8855
31111,0.8249
31119,0.9044
31121,0.8650
31123,0.9970
31125,0.9503
31127,1.1179
31131,1.0461
31137,0.7980
31139,1.1347
31141,0.9218
31143,1.0031
31145,1.0403
31147,0.8656
31151,1.0128
31153,1.1394
31155,1.0552
31157,0.9535
31159,1.1432
31161,1.0611
31169,0.9325
31173,0.9863
31177,1.0901
31179,0.8590
31185,1.0487
32001,0.9769
32003,0.8995
32005,1.0041
32007,0.9310
32013,0.8459
32015,0.8023
32017,0.8890
32019,0.9008
32023,0.9325
32027,0.7987
32031,0.9914
32033,1.1368
32510,0.9280
33001,0.9099
33003,0.8185
33005,0.8455
33007,0.7803
33009,0.9479
33011,0.8581
33013,0.9134
33015,0.9128
33017,0.9189
33019,0.8828
34001,1.0432
34003,1.0343
34005,1.0156
34007,0.9983
34009,1.0709
34011,0.9891
34013,0.9628
34015,1.0081
34017,0.9700
34019,1.1211
34021,1.0912
34023,0.9695
34025,1.0891
34027,1.1027
34029,0.9692
34031,0.9897
34033,0.9899
34035,1.1208
34037,1.0101
34039,0.9926
34041,1.0083
35001,0.9549
35005,0.9014
35006,0.9319
35007,0.9158
35009,0.9872
35013,0.9643
35015,0.8239
35017,0.7907
35019,1.0065
35023,0.8850
35025,0.9581
35027,0.9427
35028,1.0510
35029,0.9866
35031,0.9463
35035,0.9695
35037,0.9318
35039,0.8040
35041,0.9266
35043,0.9153
35045,0.9395
35047,0.8607
35049,0.8956
35051,1.0762
35053,0.8759
35055,1.0024
35057,0.9875
35061,0.9564
36001,0.9049
36003,0.8812
36007,0.9454
36009,0.8526
36011,0.9070
36013,0.8555
36015,0.8353
36017,0.8550
36019,0.9293
36021,0.8217
36023,0.9555
36025,0.8155
36027,0.8616
36029,0.9084
36031,0.8482
36033,0.8139
36035,0.7834
36037,0.8605
36039,0.8958
36043,0.8104
36045,0.8227
36049,0.8556
36051,1.0090
36053,0.8731
36055,0.8946
36057,0.8391
36059,0.8772
36061,0.8897
36063,0.8452
36065,0.8246
36067,0.9012
36069,0.9947
36071,0.8888
36073,0.7947
36075,0.9183
36077,0.8165
36079,0.9046
36083,0.8357
36087,0.9390
36089,0.8369
36091,1.0013
36093,0.8549
36095,0.8093
36097,0.8911
36099,0.8040
36101,0.8773
36103,0.9175
36105,0.8148
36107,0.7662
36109,0.8847
36111,0.8304
36113,0.9190
36115,0.8584
36117,0.8783
36119,0.9025
36121,0.8053
36123,0.8735
37001,0.8301
37003,0.7308
37005,0.8969
37007,0.6946
37009,0.9642
37011,0.9335
37013,0.7521
37015,0.8095
37017,0.7324
37019,0.7640
37021,0.8916
37023,0.8781
37025,0.8832
37027,0.8726
37029,0.7713
37031,0.8558
37033,0.6479
37035,0.9190
37037,0.9408
37039,0.8608
37041,0.9099
37043,0.9352
37045,0.7055
37047,0.8868
37049,0.8202
37051,0.8102
37053,0.8107
37055,0.8713
37057,0.8529
37059,0.8974
37061,0.7883
37063,0.8054
37065,0.7596
37067,0.7707
