id,b_grd
2926640,0.8469
2926670,0.7975
2926850,0.7829
2927060,0.8221
2927830,0.7864
2928260,0.7755
2928860,0.8888
2928920,0.8570
2928950,0.9162
2929280,0.9405
2930660,0.7176
2931440,0.8765
2931530,0.8528
2931650,1.0061
3003870,0.9142
3013040,0.9424
3100016,0.8123
3103810,1.1639
3172840,0.8603
3173740,0.8489
3174820,0.8732
3175270,1.0351
3178660,0.9395
3200060,0.8517
3200480,0.9482
3304590,0.8728
3400930,0.8542
3400960,0.7473
3401260,0.8557
3401350,0.9493
3401500,0.8081
3401830,0.8591
3402030,1.0317
3402220,1.0204
3402250,0.8876
3402400,0.9472
3402430,0.9801
3402460,1.0864
3402640,0.8943
3402820,0.9335
3403000,0.8926
3403180,0.9963
3403300,0.8512
3403780,1.0178
3403900,1.0653
3404110,1.0001
3404230,0.7111
3404320,1.0901
3404410,0.9759
3404470,0.8595
3404500,0.9876
3404560,0.8695
3404590,0.8912
3404740,0.8115
3404890,1.0091
3404920,1.1004
3405040,1.1030
3405220,1.1162
3405490,1.0232
3405580,1.0930
3405640,1.0223
3405730,1.1508
3405760,0.8865
3405880,1.1523
3406030,0.9837
3406270,0.7387
3406510,0.9947
3406540,0.9324
3407230,1.0754
3407290,0.9079
3407350,0.9252
3407560,0.8855
3407680,0.7632
3407740,0.9693
3407830,0.9204
3408220,0.6689
3408340,1.0146
3408400,0.9336
3408610,0.9267
3408640,0.8275
3408850,0.8921
3408940,0.9068
3409180,0.8837
3409270,1.0256
3409450,1.0308
3409750,0.9551
3410020,1.0042
3410320,1.0578
3410470,0.9214
3410560,0.9311
3410710,0.9775
3410810,0.9999
3410920,1.1249
3410950,1.0347
3410980,1.0895
3411160,0.9583
3411220,0.8760
3411340,1.0110
3411490,0.9254
3411640,0.9755
3412060,1.0568
3412270,0.6992
3412540,0.9911
3412690,1.0095
3412720,0.7665
3412810,0.8265
3412840,0.9210
3412870,0.9899
3412930,0.7816
3412960,0.8432
3412990,1.1496
3413050,0.9345
3413140,0.9337
3413200,0.7919
3413530,0.9726
3413740,1.0681
3414280,0.7666
3414550,0.9323
3414640,0.9907
3414670,1.0321
3415090,1.0155
3415210,1.0400
3415330,1.0452
3415360,0.9805
3415990,0.9093
3416080,0.9998
3416200,1.0538
3416230,0.7796
3416290,0.9134
3416500,0.9796
3416800,0.9343
3416830,0.9975
3417070,0.8979
3417610,0.9527
3417700,1.0149
3417730,1.1633
3418000,0.7709
3418060,0.8571
3418120,0.7299
3418150,0.9905
3500010,0.9102
3500030,0.9686
3500060,0.9809
3500570,1.0009
3501260,0.9180
3501500,1.0045
3600008,0.8902
3602460,0.7213
3602920,1.0364
3602940,0.7821
