id,b_coh
47189,0.1633
48001,-0.0216
48005,-0.0983
48015,-0.0266
48021,0.0230
48027,0.0243
48029,-0.0061
48037,-0.0664
48039,0.0011
48041,-0.0127
48049,-0.0709
48051,0.0124
48055,-0.0782
48063,0.1200
48067,-0.0273
48071,0.0076
48073,-0.0386
48085,0.0347
48089,-0.0003
48091,0.0413
48099,0.0016
48113,-0.0444
48121,-0.0515
48123,-0.0121
48135,-0.1334
48139,0.0385
48141,0.0472
48145,-0.1349
48147,-0.0457
48149,0.0776
48157,0.0769
48161,-0.0037
48167,-0.0248
48181,-0.0234
48183,0.0243
48185,-0.0658
48187,0.0517
48199,0.0927
48201,-0.0126
48203,0.0049
48209,-0.0319
48213,0.0232
48215,-0.0159
48217,-0.0983
48223,-0.0181
48225,0.0375
48227,-0.0800
48231,0.0008
48241,-0.0894
48245,-0.0997
48251,0.0370
48257,0.0470
48277,0.0675
48287,-0.0461
48291,0.0537
48293,-0.0477
48303,-0.0540
48309,-0.0374
48313,-0.0188
48315,0.0167
48321,-0.1334
48329,-0.0372
48331,0.0015
48339,0.0365
48343,-0.0630
48347,-0.0589
48349,-0.0822
48351,0.1273
48355,-0.0231
48361,-0.0179
48365,0.1010
48367,-0.1392
48373,-0.0324
48375,0.0215
48387,0.0894
48395,-0.0617
48397,0.0126
48401,0.0411
48405,-0.0371
48407,0.0666
48419,-0.0463
48423,-0.0278
48439,0.0268
48441,0.0054
48449,-0.0306
48451,-0.0444
48453,0.0268
48455,-0.0224
48457,-0.0394
48459,-0.0622
48467,0.0611
48469,-0.0759
48471,-0.1558
48473,-0.0582
48477,0.0154
48481,-0.0222
48485,-0.0395
48491,0.0080
48499,-0.0721
49011,0.0843
49035,0.0495
49049,0.0314
49057,0.0423
50007,0.0824
51001,-0.0190
51007,-0.0212
51009,0.0785
51011,0.0001
51013,0.1678
51019,0.0165
51025,0.0738
51029,-0.0864
51031,0.0386
51033,0.0187
51036,0.0635
51037,-0.1142
51041,0.0482
51047,0.0632
51049,-0.0576
51053,0.0478
51057,0.0445
51059,0.0030
51061,-0.0352
51065,0.0835
51067,0.0269
51073,0.1409
51075,-0.0173
51083,-0.0709
51085,0.0265
51087,-0.0429
51089,-0.0283
51093,0.0511
51095,0.0017
51099,0.0838
51101,0.0160
51103,0.0537
51107,0.0851
51109,0.0561
51111,-0.0532
51117,-0.1356
51121,0.1104
51127,0.0805
51131,0.1237
51133,0.0965
51135,-0.0407
51137,0.0877
51143,0.0811
51145,-0.0481
51147,0.0147
51149,0.0942
51153,0.0731
51159,-0.0097
51161,-0.0086
51175,0.1160
51177,0.0325
51179,0.0558
51181,0.0689
51183,0.1478
51193,-0.0471
51199,0.0360
51510,0.0458
51540,-0.0556
51550,-0.0051
51570,0.0274
51590,-0.0225
51595,-0.0801
51620,0.1008
51630,0.0141
51650,0.0969
51660,-0.0861
51670,0.0143
51680,-0.0413
51683,0.1494
51685,0.0342
51690,-0.1598
51700,-0.0142
51710,0.0302
51730,0.0941
51740,0.0255
51760,-0.1062
51770,0.1295
51775,0.0244
51790,-0.0671
51800,0.0342
51810,0.0649
51820,-0.0869
51840,-0.0350
53011,0.0344
53033,0.0731
53035,0.0271
53053,0.0639
53061,0.0958
53063,-0.0054
53067,-0.0256
54003,0.0076
54011,-0.0820
54019,-0.0111
54037,0.0133
54039,0.0121
54047,-0.0524
54049,0.0495
54055,-0.0228
54061,0.0384
54069,0.0361
54081,-0.0177
54107,-0.0030
55009,-0.0829
55025,-0.0803
55035,0.0181
55039,0.0075
55059,-0.0799
55063,-0.0972
55073,0.0127
55079,-0.0481
55087,0.0035
55089,-0.0188
55101,-0.1023
55105,-0.0355
55117,-0.1162
55131,0.0153
55133,-0.0442
55139,-0.1776
56021,0.0312
