id,f_coh
0637710,-0.0163
0637830,0.1510
0637890,-0.0643
0637950,0.0614
0638010,0.0123
0638130,-0.0677
0638220,0.1160
0638340,0.0231
0638430,-0.0841
0638460,0.2029
0638550,0.1596
0638640,0.0559
0638670,-0.0073
0638700,0.1106
0638770,0.0961
0638880,0.0644
0638980,0.0575
0639000,0.0785
0639060,-0.1160
0639180,0.0127
0639300,0.0311
0639420,0.1085
0639630,0.0614
0639870,-0.0081
0640150,0.0764
0640230,0.0619
0640300,0.0710
0640320,0.1664
0640380,-0.1386
0640470,-0.0414
0640590,0.0596
0640650,0.0875
0640680,0.0728
0640740,-0.0278
0640980,0.0847
0641040,-0.0988
0641130,0.1054
0641160,0.1087
0641190,-0.0239
0641250,0.0558
0641280,0.0861
0641400,0.0800
0641460,-0.0807
0641580,0.0742
0641610,0.1080
0641790,0.0108
0641880,-0.0122
0642000,0.0785
0642060,0.0368
0642120,0.0375
0642140,0.0337
0642150,0.1366
0642180,-0.0457
0642330,0.0772
0642450,0.0486
0642510,0.1192
0642540,-0.0536
0642560,0.0280
0642710,-0.0761
0642810,0.0474
0642930,-0.0124
0642960,0.1095
0642990,0.0529
0643080,0.0405
0643140,0.1062
0643170,-0.1756
0643200,-0.0784
0643380,0.0843
0643470,0.0039
0643560,0.0936
0684500,0.1081
0691012,0.3614
0691026,-0.0484
0691029,-0.0289
0691035,0.2834
0691045,0.0444
0691078,0.2906
0691134,-0.0436
0691135,-0.0009
0691136,0.1937
0801950,0.0350
0802340,-0.0904
0802580,-0.0291
0803360,0.0625
0803540,-0.0823
0803870,-0.0624
0803990,-0.0172
0804080,-0.0272
0804410,-0.0132
0804800,-0.0268
0805310,0.0280
0805370,-0.0044
0805550,0.0186
0806120,-0.0841
0806150,-0.0562
0806480,0.0368
0806900,-0.0278
0807230,-0.0170
0900060,-0.1052
0900070,-0.0644
0900090,0.0827
0900120,0.0313
0900150,-0.0538
0900210,-0.0545
0900240,0.0424
0900270,-0.0723
0900330,0.0556
0900360,-0.0016
0900420,0.0456
0900450,-0.0368
0900510,-0.0143
0900540,-0.0065
0900570,0.1008
0900660,-0.0482
0900690,0.0085
0900700,-0.0673
0900750,0.0037
0900780,0.1559
0900810,0.0508
0900840,0.0468
0900900,0.0714
0900910,0.0626
0900960,0.0988
0900990,0.0104
0901020,-0.0447
0901050,0.0800
0901080,0.0350
0901110,0.0453
0901170,0.0284
0901200,0.0748
0901230,-0.0271
0901260,0.0284
0901290,0.0171
0901320,0.0194
0901350,-0.0219
0901410,0.0183
0901440,0.0743
0901470,-0.0275
0901500,-0.0168
0901530,-0.0027
0901560,0.0144
0901620,0.0700
0901680,-0.0081
0901710,0.0570
0901740,0.0854
0901770,0.0100
0901800,-0.0098
0901860,0.0460
0901920,0.0339
0902010,-0.0969
0902070,0.0344
0902130,0.0888
0902160,-0.0756
0902190,0.0555
0902220,0.0438
0902280,-0.0567
0902310,-0.0543
0902340,0.1037
0902370,0.0121
0902400,0.0099
0902490,0.0183
0902520,0.0290
0902550,0.0521
0902580,0.0337
0902640,0.0393
0902670,0.0439
0902700,0.0469
0902730,0.0175
0902760,-0.0581
0902790,0.0316
0902820,0.0760
0902850,-0.0216
0902880,0.0099
0902910,-0.0402
0902970,0.0706
0903030,0.0701
0903060,0.1450
0903090,-0.0108
0903120,-0.0349
0903180,0.0081
0903210,0.0256
0903240,0.0070
0903270,0.0197
0903300,-0.0165
0903330,0.0328
0903360,-0.0013
0903390,0.1407
0903420,0.0588
0903450,-0.0234
0903480,0.0527
0903510,0.0154
0903515,0.0916
0903520,-0.0004
0903530,0.0213
0903535,0.0214
0903536,-0.0242
0903537,0.0383
0903538,0.0815
0903539,0.0494
0903540,0.0979
0903810,0.0042
0903840,0.0702
0903900,0.0580
0903990,-0.0110
0904050,0.0758
0904110,0.0078
0904140,0.0838
0904170,0.1319
0904230,-0.0382
0904290,0.0194
0904320,0.0373
0904350,0.0383
0904380,0.0923
0904440,-0.1000
0904470,-0.0584
0904500,0.0074
0904530,-0.0897
0904560,0.0821
0904590,-0.0194
0904620,0.0829
0904680,-0.0555
0904740,-0.0253
0904830,-0.0653
0904860,-0.0587
0904890,0.0525
0904920,0.0362
0904950,0.0463
0904980,0.1400
0905010,0.0118
0905040,0.0053
0905070,0.0309
0905100,0.0323
0905130,-0.0847
0905160,-0.0065
0905190,0.1485
0905220,-0.0041
0905250,-0.0148
0905280,0.0038
0905310,0.0571
0905370,0.0344
1000080,0.0387
1000170,0.0710
1000180,0.0374
1000190,0.0393
1000200,-0.0377
1000230,0.0199
1000270,0.0633
1000680,-0.0354
1000790,0.0397
1000810,-0.0671
1001080,-0.0916
1001240,-0.0451
1001300,-0.0268
1001530,-0.0375
1001620,0.0930
1001850,-0.0505
1100030,0.1792
1200030,0.0823
1200060,0.0019
1200090,-0.0045
1200120,0.0217
1200150,-0.0222
1200180,0.0086
1200210,0.0225
1200240,-0.0261
1200270,0.0255
1200300,-0.0003
1200330,0.1104
1200360,0.0638
1200390,0.0830
1200420,-0.1293
1200450,0.0593
1200480,0.0400
1200510,0.0167
1200540,0.1063
1200570,-0.0262
1200600,0.0864
1200630,0.0073
1200660,-0.0014
1200690,0.0202
1200720,0.1205
1200750,0.0167
1200780,-0.0181
1200810,0.0336
1200840,0.0426
1200870,0.0382
1200900,-0.0335
1200930,-0.0040
1200960,0.0292
1200990,0.0293
1201020,0.0286
1201050,0.0237
1201080,0.0400
1201110,0.0651
1201140,-0.0069
1201170,0.0415
1201200,0.0906
1201230,0.0794
1201260,-0.0356
1201290,-0.0471
1201320,0.0072
1201350,0.0729
1201380,0.0120
1201410,0.0094
1201440,0.0489
1201470,0.0630
1201500,0.0299
1201530,0.0550
1201560,0.0455
1201590,0.0421
1201620,0.0050
1201650,0.0266
1201680,0.0662
1201710,0.0080
1201740,0.1050
1201770,0.0446
1201800,0.0570
1201830,0.0162
1201860,0.0125
1201890,0.0723
1201920,0.0303
1201950,-0.0085
1201980,0.0316
1202010,0.0509
1202012,0.1186
1202014,0.1534
1202015,-0.0063
1300001,0.0182
1300060,-0.0932
1300090,0.1212
1300120,-0.0060
1300150,0.0421
1300210,-0.0814
1300240,0.0198
1300290,0.0829
1300330,0.0203
1300360,0.1003
1300390,0.1722
1300420,-0.0132
1300440,0.0422
1300480,0.0577
1300510,0.0894
1300540,0.0324
1300570,0.0314
1300600,0.1357
1300630,0.0425
1300660,0.0160
1300690,0.0052
1300720,0.0007
1300750,-0.0716
1300780,0.0597
1300810,-0.0045
1300840,0.1042
1300870,0.0405
1300900,0.0805
1300930,0.0586
1300990,0.1159
1301020,0.0336
1301050,-0.0324
1301080,0.0363
1301110,0.0200
1301140,0.1301
1301170,0.0350
1301230,-0.0408
1301260,-0.0625
1301290,0.0511
1301350,0.0362
1301380,-0.0502
1301410,0.0765
1301440,0.0381
1301470,-0.0106
1301500,0.0788
1301530,-0.0131
1301560,-0.0793
1301590,0.1221
1301620,-0.0509
1301650,0.0761
1301680,0.2108
1301710,-0.0253
1301740,0.0063
1301770,-0.0050
1301800,-0.0678
1301830,-0.0267
1301860,0.0676
1301870,-0.0378
1301890,0.0165
1301920,-0.0121
1301950,0.0571
1301980,0.0872
1302010,0.0286
1302040,0.0062
1302070,-0.0256
1302100,0.0630
1302130,0.0477
1302190,-0.0084
1302220,0.1306
1302250,0.0331
1302280,0.0234
1302310,-0.0198
1302340,0.0233
1302370,0.1007
1302400,0.0293
1302430,0.0484
1302460,-0.0252
1302490,0.1605
1302520,0.0273
1302550,0.0406
1302580,0.0461
1302610,0.0486
1302640,-0.0584
1302670,0.0223
1302700,0.0767
1302730,0.0043
1302790,0.1326
1302820,0.0268
1302880,-0.0225
1302910,-0.0083
1302940,0.0126
1302970,0.0109
1303000,-0.0597
1303030,0.0338
1303060,-0.1003
1303090,-0.0279
1303120,-0.0240
1303150,0.0808
1303210,0.0174
1303240,-0.0622
1303270,0.1050
1303300,0.0109
1303330,-0.0178
1303360,-0.0137
1303390,0.0669
1303420,0.1089
1303450,-0.0624
1303480,0.1252
1303510,0.0974
1303540,0.0599
1303570,0.0190
1303600,0.0248
1303630,-0.0601
1303660,-0.0717
1303690,0.0061
1303720,0.0566
1303750,-0.1141
1303780,-0.0299
1303840,-0.0007
1303870,0.0266
1303930,0.0694
1303960,0.0456
1303990,0.0596
