id,w_coh
31153,0.1180
31155,0.1053
31157,0.0953
31159,0.1399
31161,-0.0126
31163,-0.0068
31167,0.1235
31169,0.0193
31175,-0.1069
31177,0.0956
31179,0.1628
31181,0.0231
31185,0.1195
32001,0.0157
32003,0.0651
32005,0.0125
32007,-0.0057
32013,-0.0104
32015,-0.0322
32017,-0.0110
32019,0.0598
32023,-0.0435
32027,-0.0425
32029,0.0413
32031,0.0667
32033,0.0188
32510,-0.0256
33001,-0.0153
33003,-0.0990
33005,0.0006
33007,-0.0675
33009,-0.0211
33011,0.0096
33013,-0.0049
33015,0.0160
33017,0.0489
33019,0.0233
34001,0.0270
34003,0.0610
34005,0.0427
34007,0.0219
34009,0.0202
34011,0.0169
34013,0.0538
34015,0.0240
34017,0.0143
34019,0.0299
34021,0.0690
34023,0.0225
34025,0.0646
34027,0.0339
34029,0.0139
34031,0.0423
34033,0.0627
34035,0.0493
34037,0.0284
34039,0.0588
34041,0.0285
35001,0.0513
35005,0.0204
35006,0.0816
35007,-0.0250
35009,0.0066
35013,0.0558
35015,-0.0356
35017,0.0191
35025,0.0018
35027,-0.0235
35028,0.0851
35029,0.0286
35031,-0.0478
35035,0.0086
35037,0.0709
35041,0.0713
35043,-0.0179
35045,0.0019
35047,-0.1239
35049,0.0403
35051,0.0247
35053,0.0487
35055,-0.0639
35057,0.0026
35059,-0.0411
35061,0.0670
36001,0.0093
36003,-0.0320
36007,-0.0171
36009,-0.0111
36011,-0.0402
36013,-0.0706
36015,-0.0375
36017,-0.0255
36019,-0.0140
36021,-0.0006
36023,-0.0786
36025,-0.0113
36027,0.0011
36029,0.0003
36031,-0.0554
36033,-0.0917
36035,-0.0148
36037,0.0369
36039,-0.0581
36043,-0.0361
36045,-0.0414
36049,0.0044
36051,0.0013
36053,-0.0111
36055,0.0418
36057,-0.0615
36059,-0.0030
36061,0.1068
36063,-0.0341
