id,h_avg
55131,-0.3209
55133,-0.4026
55135,-1.1130
55137,-1.3380
55139,-1.1547
55141,-0.6956
56001,0.0094
56003,-0.6061
56005,-0.4834
56007,-1.1424
56013,-0.3771
56015,-1.0514
56021,-0.4368
56025,-0.6883
56029,0.2963
56033,0.8268
56035,-0.5673
56037,-0.7018
56039,-0.9792
56041,-0.7108
56043,0.0235
